좋아하는일,필요한능력,진로결정,도움요청,취업기관방문,능력준비,자신인지,전공인지,진로결정불변,결정회피,이력서작성인지,장점인지,직업전망인지,결정후회,취업정보문의,가치인지,관심직업인지,진로만족,결정경험없음,인사담당자문의,자기소개서작성능력,즐거운일인지,진로설명,결과두려움,도움요청,면접자신감,전공직업인지,진로계획,타인결정의존,구인정보확인,임금환경인지,취업도움요청,면접질문대응,결정두려움,이력서작성능력,학과,성별,연령,학년
2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,1 ,2 ,2 ,1 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,패션의류학과,1,24,4
3 ,3 ,3 ,1 ,3 ,3 ,3 ,1 ,3 ,3 ,3 ,1 ,3 ,4 ,3 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,1 ,2 ,5 ,2 ,2 ,수학교육,2,22,3
3 ,3 ,5 ,3 ,4 ,3 ,4 ,4 ,5 ,2 ,2 ,3 ,3 ,3 ,4 ,2 ,4 ,4 ,4 ,3 ,3 ,2 ,4 ,3 ,3 ,4 ,4 ,4 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,9999,9999,9999,9999
2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,4 ,2 ,4 ,3 ,3 ,3 ,1 ,1 ,1 ,1 ,1 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,2 ,1 ,1 ,3 ,1 ,2 ,2 ,금융보험,1,23,4
2 ,2 ,2 ,3 ,3 ,2 ,1 ,2 ,2 ,4 ,4 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,4 ,4 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,4 ,4 ,금융보험,1,24,4
2 ,2 ,2 ,3 ,3 ,2 ,1 ,2 ,2 ,4 ,4 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,4 ,4 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,4 ,4 ,3 ,2 ,금융보험,1,24,4
2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,3 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,4 ,2 ,2 ,2 ,4 ,2 ,3 ,2 ,2 ,4 ,2 ,2 ,2 ,3 ,4 ,3 ,임상건강운동,1,23,3
2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,9999,1,9999,9999
3 ,2 ,3 ,3 ,4 ,4 ,2 ,3 ,4 ,2 ,3 ,1 ,2 ,3 ,3 ,1 ,2 ,4 ,3 ,2 ,3 ,3 ,2 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,3 ,무역,1,22,2
3 ,3 ,3 ,3 ,2 ,1 ,2 ,2 ,4 ,3 ,2 ,3 ,3 ,3 ,2 ,3 ,2 ,1 ,3 ,4 ,4 ,4 ,4 ,1 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,4 ,2 ,2 ,컴퓨터공학,1,20,2
2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,4 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,1 ,1 ,4 ,2 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,5 ,2 ,2 ,1 ,1 ,5 ,사회교육,1,25,4
1 ,1 ,1 ,1 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,체육교육과,1,22,4
