1,2,2-1,3-1,3-2,3-3,3-4,3-5,4,4-1,5-1,5-2,6,7,8,9,10,11,12,13,14-1,14-2,14-3,15,16,17,18,19,20-1,20-2,20-3,21,22,23,24-1,24-2,24-3,25,26-1,26-2,27,학과/전공,성별,연령,학년
1,2,1,4,3,4,4,3,1,1,4,,5,5,4,3,5,5,2,3,1,2,3,1,2,2,1,1,10,12,17,2,3,1,2,3,7,2,2,2,,역사교육과,2,19,1
1,2,1,5,4,4,5,4,1,1,4,,5,2,4,3,1,3,1,2,1,2,3,1,2,3,1,1,7,10,6,2,2,3,6,1,2,2,1,1,,역사교육과,2,18,1
1,1,1,5,4,4,4,5,1,1,3,,5,3,2,4,1,5,1,2,1,2,7,1,4,2,1,1,1,4,17,2,3,3,2,4,7,2,2,2,,역사교육과,1,18,1
1,1,1,5,4,4,5,4,1,1,3,,2,4,4,1,7,3,2,1,1,2,5,1,1,1,1,1,1,17,12,3,3,1,2,6,4,3,2,2,,역사교육과,2,19,1
1,1,6,5,5,5,5,5,1,1,1,,5,3,1,1,1,4,3,1,1,6,2,1,1,1,1,1,1,2,3,2,2,1,4,1,3,2,2,2,,역사교육과,1,18,1
1,2,3,5,4,3,5,4,1,1,4,,6,2,4,3,5,4,1,1,1,3,6,1,1,2,1,1,1,4,10,2,2,1,5,6,1,2,3,3,,역사교육과,2,18,1
1,1,1,4,4,4,5,4,1,1,3,,5,2,2,3,5,5,3,1,1,2,3,1,1,1,1,1,1,12,4,2,2,1,4,3,7,2,2,2,각자 학과에 필요한 맞춤형 진로와 취업에 관한 프로그램이 다양하게 운영되었으면 좋겠다.,역사교육과,2,19,1
1,1,3,5,5,5,5,5,1,3,4,,2,5,2,1,1,1,1,2,1,3,7,1,2,3,1,1,1,2,3,2,2,4,1,2,3,3,1,2,,역사교육과,2,22,4
1,1,4,5,5,5,5,5,1,1,3,,5,3,2,2,1,4,1,1,1,3,5,1,1,2,1,1,1,2,3,3,3,2,1,2,3,4,1,1,,역사교육과,1,19,1
1,1,1,5,5,5,5,5,1,1,4,,5,1,5,3,1,1,2,2,1,2,3,3,3,3,1,1,1,4,2,4,4,3,2,3,4,2,1,1,,역사교육과,1,19,2
1,3,1,5,5,3,4,4,1,1,3,,5,5,3,2,4,2,1,2,1,2,3,1,3,3,1,1,8,6,1,4,3,1,4,5,2,2,1,1,,역사교육과,2,20,2
1,1,1,5,5,5,5,5,1,1,4,,6,1,5,3,5,1,2,2,1,2,3,3,3,3,1,1,1,4,2,4,4,3,2,3,4,2,1,1,,역사교육과,1,23,3
1,3,6,5,5,3,4,4,1,1,3,,5,5,3,2,4,2,1,2,1,2,3,1,3,3,1,1,8,12,17,4,5,1,5,3,2,4,1,1,,역사교육과,1,22,3
1,3,1,3,3,3,3,3,1,2,1,,1,2,3,3,1,4,3,3,1,2,3,3,1,1,2,1,1,2,3,3,3,1,2,3,4,3,3,3,,역사교육과,1,22,3
1,2,6,4,4,4,4,4,1,1,3,,5,3,5,2,4,1,2,1,1,2,3,1,1,2,1,1,1,8,4,2,2,4,2,4,6,4,1,1,,역사교육과,1,23,3
