센터인지,프로그램인지,휴학이유,어려운점1,어려운점2,어려운점3,도움1,도움2,도움3,진로계획,필요성,불필요이유,참여의사,불참이유,도움대상1,도움대상2,도움대상3,선호시간,희망1,희망2,희망3,상담회수,구분,학과,연령,학년,성별
1,2,1,3,2,4,2,3,5,2,4,4,4,5,3,4,2,4,3,2,1,3,9999,행정학과,23,3,1
2,2,1,1,3,5,1,4,3,2,4,3,4,5,1,2,3,4,4,2,3,2,9999,행정학과,22,3,1
2,1,1,3,5,4,3,5,4,2,3,9999,3,9999,3,7,4,3,4,6,8,3,9999,행정학과,23,3,1
1,2,1,4,2,1,5,1,3,1,4,2,4,1,2,3,4,4,3,4,1,2,9999,행정학과,23,3,1
2,1,1,1,2,3,1,2,3,1,1,3,3,9999,3,7,5,1,4,6,5,1,9999,행정학과,22,2,1
2,2,1,3,2,4,5,6,1,2,2,9999,4,3,5,2,3,4,4,2,5,2,9999,행정학과,22,3,1
2,1,1,1,2,5,1,4,3,1,3,9999,3,9999,4,2,7,2,4,6,8,4,9999,행정학과,22,2,1
2,2,1,2,5,4,1,2,5,2,4,1,4,3,3,2,5,1,3,2,1,2,9999,행정학과,23,3,1
2,2,1,3,4,1,1,5,2,2,2,9999,2,9999,2,4,5,2,2,3,5,2,9999,행정학과,22,3,1
2,2,1,2,3,4,1,4,2,2,3,9999,3,9999,6,7,4,2,2,6,5,2,9999,행정학과,23,3,1
1,1,1,4,1,3,2,5,4,2,3,9999,2,9999,6,4,3,2,1,4,6,2,9999,행정학과,22,3,1
1,1,1,2,3,4,2,3,4,1,3,9999,3,9999,4,5,6,3,8,2,3,2,9999,행정학과,24,3,1
1,1,1,3,1,2,2,5,4,3,3,9999,2,9999,2,5,1,3,6,8,2,2,9999,행정학과,23,3,1
2,2,1,3,1,4,4,3,2,2,3,9999,3,9999,6,2,1,4,4,2,6,3,9999,행정학과,22,3,1
1,1,1,4,3,1,2,1,5,1,3,9999,3,9999,1,6,2,3,1,4,5,1,9999,행정학과,23,3,1
1,2,1,3,4,3,2,5,4,1,4,4,3,9999,2,1,3,2,6,2,1,2,9999,행정학과,22,3,1
2,2,1,1,3,4,3,4,1,2,3,9999,4,2,1,2,3,4,6,9999,9999,1,9999,행정학과,22,3,1
2,2,1,1,3,2,3,1,4,1,3,1,3,3,3,1,2,2,4,9999,9999,3,9999,행정학과,22,3,1
1,2,1,1,4,3,2,4,1,2,3,9999,3,9999,1,2,3,4,4,5,6,2,9999,행정학과,22,3,1
1,2,1,4,2,3,3,1,5,1,2,9999,3,9999,2,3,4,1,2,4,5,2,9999,행정학과,22,3,1
1,1,1,1,2,4,5,3,1,6,2,9999,2,9999,2,1,3,1,3,1,6,2,1,윤리교육과,25,2,1
1,2,1,3,1,4,3,1,4,6,2,9999,2,9999,2,3,4,1,2,6,1,5,1,윤리교육과,22,2,1
1,1,1,4,3,1,2,5,4,2,2,9999,3,9999,1,2,3,2,6,1,3,2,1,윤리교육과,24,2,1
1,2,3,1,3,6,4,9999,9999,6,2,9999,3,9999,1,2,8,3,2,6,4,2,2,윤리교육과,20,2,2
